From: EQP: J:\Z\Panzer General 2\EQUIP97.EQP
To  : EQP: J:\Z\OpenGen\EFILE_NOKORP\equip.xeqp
1,611
2,2
3,3
4,4
5,5
6,2697
7,7
8,8
9,3193
10,5953
11,335
12,10
13,6135
14,12
15,3013
16,3016
17,3017
18,3018
19,2906
20,20
21,4454
22,4611
23,23
24,4293
25,25
26,26
27,27
28,930
29,29
30,1175
31,31
32,32
33,33
34,5953
35,35
36,36
37,37
38,38
39,39
40,5515
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,3026
51,3063
52,52
53,53
54,54
55,55
56,2854
57,58
58,2847
59,59
60,60
61,61
62,62
63,1170
64,64
65,65
66,66
67,67
68,68
69,6087
70,6058
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,7942
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,6043
91,91
92,92
93,93
94,94
95,1234
96,7943
97,97
98,98
99,99
100,4055
101,101
102,704
103,103
104,104
105,105
106,5953
107,107
108,3413
109,109
110,3460
111,3412
112,112
113,3267
114,3463
115,3268
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,5957
128,128
129,129
130,130
131,131
132,132
133,133
134,5933
135,135
136,135
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,2406
158,158
159,4559
160,160
161,161
162,162
163,163
164,4465
165,165
166,166
167,2903
168,168
169,4289
170,170
171,171
172,1283
173,173
174,174
175,175
176,4806
177,177
178,1314
179,1321
180,180
181,181
182,5953
183,335
184,3187
185,2705
186,186
187,3180
188,3186
189,3191
190,190
191,191
192,192
193,193
194,194
195,4525
196,1337
197,197
198,198
199,199
200,200
201,201
202,1351
203,203
204,204
205,205
206,1358
207,5311
208,208
209,5953
210,210
211,3617
212,3627
213,3634
214,3616
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,231
232,232
233,233
234,234
235,235
236,236
237,1992
238,238
239,239
240,240
241,241
242,5953
243,335
244,244
245,245
246,246
247,3025
248,248
249,249
250,2978
251,251
252,5005
253,253
254,3124
255,255
256,5953
257,335
258,3318
259,259
260,260
261,261
262,262
263,2520
264,264
265,5953
266,335
267,267
268,268
269,269
270,270
271,5178
272,1493
273,273
274,3174
275,3178
276,276
277,277
278,278
279,279
280,4388
281,1916
282,1504
283,1531
284,284
285,285
286,5953
287,335
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,1544
297,297
298,2578
299,299
300,300
301,301
302,3192
303,303
304,2575
305,5953
306,335
307,3662
308,3668
309,2651
310,1930
311,311
312,312
313,2565
314,314
315,1594
316,1591
317,317
318,1598
319,319
320,320
321,321
322,5686
323,323
324,324
325,325
326,326
327,327
328,328
329,5170
330,330
331,331
332,332
333,333
334,5953
335,335
336,336
337,5653
338,338
339,3868
340,3840
341,341
342,3852
343,343
344,344
345,345
346,2595
347,347
348,348
349,349
350,350
351,351
352,352
353,353
354,354
355,355
356,357
357,356
358,358
359,359
360,360
361,361
362,362
363,363
364,364
365,641
366,366
367,1713
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,1715
376,376
377,377
378,378
379,379
380,380
381,381
382,2616
383,383
384,384
385,385
386,386
387,387
388,388
389,4027
390,390
391,391
392,392
393,4052
394,4054
395,395
396,4074
397,397
398,398
399,2868
400,662
401,6103
402,402
403,7995
404,404
405,405
406,406
407,407
408,408
409,409
410,410
411,1757
412,1752
413,413
414,414
415,445
416,416
417,417
418,418
419,5953
420,420
421,3916
422,5159
423,3914
424,5163
425,3920
426,426
427,5165
428,428
429,429
430,430
431,431
432,433
433,5986
434,434
435,435
436,5985
437,437
438,674
439,439
440,5977
441,441
442,5991
443,443
444,444
445,445
446,446
447,677
448,448
449,449
450,2914
451,451
452,4636
453,453
454,454
455,455
456,4643
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,4608
467,467
468,467
469,465
470,6003
471,6003
472,472
473,473
474,474
475,475
476,2949
477,477
478,7977
479,479
480,480
481,481
482,2588
483,483
484,1816
485,1819
486,486
487,487
488,488
489,680
490,490
491,491
492,492
493,493
494,5953
495,495
496,3406
497,3755
498,498
499,499
500,3765
501,501
502,502
503,3759
504,2429
505,505
506,506
507,508
508,509
509,1860
510,510
511,511
512,512
513,513
514,514
515,515
516,516
517,517
518,518
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,2581
529,529
530,530
531,531
532,4481
533,533
534,534
535,535
536,4690
537,537
538,1846
539,4698
540,1847
541,541
542,542
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,650
552,552
553,1131
554,554
555,555
556,556
557,557
558,558
559,559
560,1956
561,335
562,5953
563,2765
564,564
565,565
566,2776
567,1762
568,952
569,568
570,569
571,570
572,571
573,572
574,2790
575,2486
576,575
577,3020
578,608
579,577
580,579
582,1167
583,582
584,1260
585,6082
