* all zones are completely reworked and customized, even the first eight zones
* check the climate_zones.csv and climate_zones.png for more details about the zones defined in this file

#0 Continental: Cold
8, 5, 95, 45
8, 4, 90, 40
8, 4, 70, 35
8, 4, 30, 40
8, 5, 0, 40
7, 5, 0, 45
7, 5, 0, 50
7, 5, 0, 55
7, 5, 5, 50
7, 5, 30, 50
8, 5, 70, 45
8, 5, 95, 45

#1 Continental: Humid
6, 6, 70, 35
7, 6, 60, 45
7, 5, 35, 50
7, 5, 5, 55
8, 5, 0, 60
8, 4, 0, 55
8, 4, 0, 55
9, 4, 0, 55
8, 5, 0, 50
8, 5, 5, 45
7, 5, 20, 40
7, 6, 60, 35

#2 Desert: Africa, Asia
9, 3, 0, 15
9, 3, 0, 15
9, 3, 0, 10
9, 3, 0, 5
9, 2, 0, 0
9, 2, 0, 0
9, 2, 0, 0
9, 2, 0, 0
9, 2, 0, 0
9, 3, 0, 5
9, 3, 0, 10
9, 3, 0, 15

#3 Desert: America
8, 4, 25, 25
8, 4, 15, 20
8, 4, 5, 15
9, 4, 0, 10
9, 4, 0, 5
9, 3, 0, 0
9, 3, 0, 0
9, 3, 0, 0
9, 4, 0, 5
8, 4, 0, 10
8, 4, 5, 15
8, 4, 15, 20

#4 Mediterranean: Dry
6, 6, 20, 35
7, 6, 15, 40
8, 5, 5, 50
8, 5, 0, 45
8, 4, 0, 25
9, 3, 0, 20
9, 3, 0, 15
9, 3, 0, 20
8, 4, 0, 40
7, 5, 0, 50
7, 6, 0, 45
7, 6, 10, 40

#5 Mediterranean: Humid
8, 5, 25, 35
8, 5, 20, 40
8, 5, 5, 45
8, 5, 0, 50
7, 5, 0, 55
7, 6, 0, 60
7, 6, 0, 65
7, 6, 0, 65
7, 5, 0, 55
8, 5, 0, 50
8, 5, 0, 45
8, 5, 15, 40

#6 Oceanic
5, 6, 40, 60
5, 5, 30, 60
6, 5, 15, 55
6, 5, 5, 55
6, 6, 0, 55
7, 5, 0, 55
7, 5, 0, 55
6, 5, 0, 55
6, 6, 0, 55
6, 6, 0, 60
6, 5, 15, 60
5, 5, 30, 60

#7 Semi-Arid: Africa, Asia
8, 4, 35, 40
8, 5, 25, 50
8, 5, 5, 40
8, 4, 0, 35
8, 4, 0, 25
9, 3, 0, 10
9, 3, 0, 5
9, 3, 0, 5
9, 3, 0, 5
9, 4, 0, 15
8, 4, 5, 30
8, 5, 25, 35

#8 Semi-Arid: America
8, 4, 40, 20
8, 4, 30, 20
8, 4, 10, 25
9, 4, 0, 25
9, 4, 0, 30
8, 4, 0, 35
8, 5, 0, 40
8, 5, 0, 40
8, 5, 0, 35
8, 4, 0, 30
8, 4, 10, 25
8, 4, 25, 20

#9 Subartic / Alpine
8, 5, 90, 40
8, 4, 80, 40
8, 5, 60, 35
8, 5, 30, 35
8, 5, 0, 40
7, 5, 0, 45
7, 5, 0, 50
7, 6, 0, 55
7, 5, 0, 55
7, 6, 30, 50
7, 5, 55, 50
8, 5, 85, 45

#10 Subtropical
9, 4, 0, 20
8, 4, 0, 35
7, 5, 0, 55
6, 6, 0, 70
4, 8, 0, 90
4, 8, 0, 95
4, 9, 0, 95
3, 10, 0, 95
3, 9, 0, 90
6, 7, 0, 70
8, 5, 0, 45
9, 4, 0, 25

#11 (not used)
#12 (not used)
#13 (not used)
#14 (not used)
#15 (not used)
#16 (not used)
#17 (not used)
#18 (not used)
#19 (not used)
#20 (not used)
#21 (not used)
